PBCR,Male_Incidence_n,Male_CR,Male_AAR,Male_Cumulative_Risk,Male_Median_Age,Female_Incidence_n,Female_CR,Female_AAR,Female_Cumulative_Risk,Female_Median_Age
Delhi,1083,11.8,16.7,1 in 47,61,321,4.0,5.1,1 in 161,60
Patiala district,75,7.0,7.7,1 in 101,60,27,2.8,2.8,1 in 304,58
Hyderabad district,187,9.2,12.4,1 in 59,63,87,4.5,6.0,1 in 127,60
Kollam district,367,29.4,23.1,1 in 33,65,72,5.1,3.8,1 in 214,63
Thiruvanathapuram district,337,21.3,16.8,1 in 47,63,109,6.3,4.7,1 in 175,62
Bengaluru,445,9.8,13.0,1 in 59,64,199,4.7,5.8,1 in 143,60
Chennai,279,11.8,11.9,1 in 66,63,111,4.7,4.4,1 in 182,61
Kolkata,510,22.0,18.3,1 in 42,65,151,7.0,5.9,1 in 142,62
Ahmedabad urban,238,7.3,8.8,1 in 86,62,62,2.1,2.4,1 in 332,60
Aurangabad,43,6.4,8.8,1 in 83,60,16,2.5,3.2,1 in 243,60
Osmanabad and Beed,44,1.9,1.9,1 in 421,65,23,1.1,1.0,1 in 848,59
Barshi rural,5,1.9,1.8,1 in 448,60,5,2.1,1.9,1 in 458,58
Mumbai,639,9.5,11.0,1 in 73,65,348,6.0,5.9,1 in 143,65
Pune,147,5.1,6.7,1 in 113,65,90,3.5,4.0,1 in 204,61
Wardha district,34,5.0,4.6,1 in 179,62,17,2.6,2.3,1 in 147,59
Bhopal,98,9.1,12.0,1 in 64,62,29,2.9,3.6,1 in 220,58
Nagpur,74,5.5,6.1,1 in 121,62,35,2.7,2.7,1 in 299,55
Manipur State,140,8.9,12.9,1 in 58,68,130,8.3,11.8,1 in 63,65
Imphal West district,41,15.5,17.8,1 in 46,70,43,15.5,16.6,1 in 49,66
Mizoram State,124,20.9,32.1,1 in 26,66,106,18.0,27.6,1 in 29,67
Aizawl district,57,27.1,38.8,1 in 22,66,61,27.9,37.9,1 in 23,70
Sikkim State,17,4.9,6.5,1 in 127,69,15,4.9,7.1,1 in 118,66
Tripura State,221,11.3,14.5,1 in 54,63,53,2.8,3.4,1 in 226,60
West Arunachal,16,3.7,7.0,1 in 110,54,9,2.2,5.0,1 in 51,55
Papum Pare district,8,7.6,20.1,1 in 38,55,4,4.2,12.8,1 in 366,60
Meghalaya,57,5.6,12.4,1 in 61,60,23,2.3,4.3,1 in 186,61
East Khasi Hills district,31,6.9,14.1,1 in 50,60,14,3.1,5.3,1 in 143,64
Nagaland,17,4.5,8.4,1 in 96,58,7,2.1,4.3,1 in 174,60
Pasighat,5,7.1,9.7,1 in 77,57,2,2.6,4.3,1 in 158,60
Cachar district,80,8.5,11.9,1 in 66,63,25,2.8,3.9,1 in 218,60
Dibrugarh district,27,3.9,5.1,1 in 155,60,10,1.5,2.0,1 in 393,60
Kamrup urban,99,15.1,18.1,1 in 44,64,36,5.7,6.7,1 in 128,56
