Vijay Nagar, Ramanagara, India
Chandrapur, Chandrapur, India
New DM Office, Arrah, India
Deen Dayal Nagar, Sagar, India
Chitragupta Nagar, Siwan, India
Bhopal Chauraha, Dewas, India
T T Nagar, Bhopal, India
Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India
Girls College, Sivasagar, India
MIDC Khutala, Chandrapur, India
Opp GPO Civil Lines, Nagpur, India
Talkatora, Lucknow, India
Vibhab Nagar, Firozabad, India
Knowledge Park - V, Greater Noida, India
Sector-18, Panipat, India
Doon University, Dehradun, India
National Institute of Malaria Research, Sector 8, Dwarka, Delhi, Delhi, India
Chikkaballapur Rural, Chikkaballapur, India
Diwator Nagar, Koppal, India
Chakala-Andheri East, Mumbai, India
D M Colony, Bihar Sharif, India
Gandak Colony, Motihari, India
Jhunsi, Prayagraj, India
GIFT City, Gandhinagar, India
Sector-2 IMT, Manesar, India
Model Town, Patiala, India
F-Block, Sirsa, India
Rajbagh, Srinagar, India
Collectorate, Gaya, India
Dada Peer, Sasaram, India
Indira Colony Vistar, Pali, India
Kamalnath Nagar, Bettiah, India
Omex Eternity, Vrindavan, India
Sector 6 Panchkula, Panchkula, India
Civil Line, Jalandhar, India
Naharlagun, Naharlagun, India
Polayathode, Kollam, India
Bidhannagar, Kolkata, India
Govt. High School Shikarpur, Patna, India
Madan Mohan Malaviya University of Technology, Gorakhpur, India
Maninagar, Ahmedabad, India
Murthal, Sonipat, India
Kokapet, Hyderabad, India
Gobind Pura, Yamuna Nagar, India
Kariavattom, Thiruvananthapuram, India
Manali Village, Chennai, Chennai, India
Ghusuri, Howrah, India
Town Hall, Munger, India
Pallavpuram Phase 2, Meerut, India
Ratanpura, Rupnagar, India
Hebbal 1st Stage, Mysuru, India
Gulzarpet, Anantapur, India
Mirchaibari, Katihar, India
Darshan Nagar, Chhapra, India
Buddha Colony, Muzaffarpur, India
Shrinath Puram, Kota, India
GM Office, Brajrajnagar, India
Collector Office, Yadgir, India
Gangapur Road, Nashik, India
Tata Stadium, Jorapokhar, India
Sanjay Nagar, Ghaziabad, India
New Mandi, Muzaffarnagar, India
Patti Mehar, Ambala, India
Sardar Patel Inter College, Baghpat, India
SIDCO Kurichi, Coimbatore, India
Haldia, Haldia, India
Jayanagar 5th Block, Bengaluru, India
Kurla, Mumbai, India
Mayaganj, Bhagalpur, India
Police Line, Saharsa, India
Shaheed Sukhdev College of Business Studies, Rohini, Delhi, Delhi, India
Sector-7, Kurukshetra, India
Sector-12, Karnal, India
Railway Colony, Guwahati, India
GVM Corporation, Visakhapatnam, India
Vinoba Nagara, Shivamogga, India
Vidayagiri, Bagalkot, India
Haji Colony, Raichur, India
Rabindra Bharati University, Kolkata, India
Marhatal, Jabalpur, India
Civil Lines, Bareilly, India
Sector-3B Avas Vikas Colony, Agra, India
Yamunapuram, Bulandshahr, India
Chalai Bazaar, Ramanathapuram, India
Meelavittan, Thoothukudi, India
Thavakkara, Kannur, India
Ibrahimpur, Vijayapura, India
GIDC, Nandesari, India
Sector-D Industrial Area, Mandideep, India
Shivaji Nagar, Jhansi, India
Bardowali, Agartala, India
DRCC Anandpur, Begusarai, India
Industrial Area, Hajipur, India
Shrivastav Colony, Damoh, India
General Hospital, Mandikhera, India
Civil Lines, Ajmer, India
Kadri, Mangalore, India
Ramteerth Nagar, Belgaum, India
Belur Math, Howrah, India
Gole Bazar, Katni, India
Moti Doongri, Alwar, India
H.B. Colony, Bhiwani, India
Tirumala-APPCB, Tirupati, India
B.Katihalli, Hassan, India
Stuart Hill, Madikeri, India
Brahmagiri, Udupi, India
Gurdeo Nagar, Aurangabad, India
Hardev Nagar, Bathinda, India
PWD Juction, Kohima, India
Talcher Coalfields, Talcher, India
ECIL Kapra, Hyderabad, India
Phase-4 GIDC, Vatva, India
Huda Sector, Fatehabad, India
Golden Temple, Amritsar, India
Perungudi, Chennai, Chennai, India
Anthoni Pillai Nagar, Gummidipoondi, India
Anand Kala Kshetram, Rajamahendravaram, India
HIMUDA Complex Phase-1, Baddi, India
GIDC, Ankleshwar, India
Shastri Nagar, Narnaul, India
Lumpyngngad, Shillong, India
SDM Office_Khagra, Kishanganj, India
Motilal Nehru NIT, Prayagraj, India
Ashok Nagar, Udaipur, India
Rohta, Agra, India
Police Lines, Jind, India
Rishi Nagar, Kaithal, India
Mini Secretariat, Charkhi Dadri, India
Civic Center, Bhilai, India
Chhoti Gwaltoli, Indore, India
Zero Point GICI, Gangtok, India
Ardhali Bazar, Varanasi, India
NSI Kalyanpur, Kanpur, India
Kukrail Picnic Spot-1, Lucknow, India
Sector-2 Industrial Area, Pithampur, India
Urban Estate-II, Hisar, India
Kumaran College, Tirupur, India
Lal Bahadur Shastri Nagar, Kalaburagi, India
MIT-Daudpur Kothi, Muzaffarpur, India
Forest Rest House, Manguraha, India
Rajendra Nagar, Bareilly, India
Shasthri Nagar, Ratlam, India
Adarsh Nagar, Jaipur, India
Central Jail, Buxar, India
Sikulpuikawn, Aizawl, India
Urban, Chamarajanagar, India
Zoo Park, Bahadurpura West, Hyderabad, India
Borivali East MPCB, Mumbai, India
DM Office_Kasipur, Samastipur, India
Bandhavgar Colony, Satna, India
More Chowk, Waluj, Aurangabad, India
City Center, Gwalior, India
Anand Vihar, Hapur, India
Nathu Colony, Ballabgarh, India
Phase-1 GIDC, Vapi, India
Ward-32 Bapupara, Siliguri, India
RIMT University, Mandi Gobindgarh, India
Jawahar Nagar, Puducherry, India
BWSSB Kadabesanahalli, Bengaluru, India
Khadakpada, Kalyan, India
Asansol Court Area, Asansol, India
Mother Dairy Plant, Parparganj, Delhi, Delhi, India
Employment Office, Moradabad, India
Bombay Castel, Ooty, India
Kalyana Nagara, Chikkamagaluru, India
Kharahiya Basti, Araria, India
Collectorate, Jodhpur, India
Municipal Corporation Office, Dharuhera, India
Jigar Colony, Moradabad, India
Punjab Agricultural University, Ludhiana, India
Corporation Ground, Thrissur, India
Dangi Tola, Rajgir, India
Muzaffarpur Collectorate, Muzaffarpur, India
Secretariat, Amaravati, India
Mangala, Bilaspur, India
Powai, Mumbai, India
Sidhu Kanhu Indoor Stadium, Durgapur, India
DRM Office Danapur, Patna, India
Vindhyachal STPS, Singrauli, India
Kalindi Kunj, Khurja, India
